Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
Setting up of 1500 MW Coal Based Power unit in Thiruvallur district,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Tamil Nadu,NTPC Tamilnadu Energy Company Limited,Completed,"9,193.29",16-Sep-2007
Setting up of 20 MW hydel power unit at Kollimalai,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Tamil Nadu,Tamil Nadu Generation and Distribution Corporation Limited,Under Construction,338.79,21-Sep-2016
Setting up of 250 MW coal based power unit at Rourkela in Sundargarh district,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Odisha,NTPC-SAIL Power Company Limited,Under Construction,"1,600.00",16-May-2016
Setting up of 50 MW gas based co-generation power plant at RCF,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Maharashtra,Rashtriya Chemicals and Fertilizers Limited,Pre-construction Stage,353.00,22-Feb-2016
Sewage Treatment Plant (Puri) Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Sewage collection, treatment and disposal system",Odisha,Odisha Water Supply and Sewerage Board,Under Construction,80.45,Not Available
Sewerage Scheme (Ramgarh Shekhawati),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Sewage collection, treatment and disposal system",Rajasthan,Ramgarh Shekhawati Municipality,Under Construction,52.70,23-Feb-2016
Shivna Takli Medium Irrigation Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Maharashtra,"Water Resources Department, Maharashtra",Under Construction,228.63,01-Jan-1982
Singur Irrigation Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Telangana,"Rural Water Supply and Sanitation Department, Andhra Pradesh",Completed,130.42,30-Jun-2009
Sipat-II Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Sipat-Seoni-Chhegaon-Ambazari Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Chhattisgarh,Power Grid Corporation of India Limited,Completed,"2,730.00",Not Available
Sirhind Feeder Part - II,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Punjab,Punjab Water Resources Management and Development Corporation Limited,Under Construction,660.36,15-Feb-2008
Solar Photovoltaic Power (Neyveli) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Tamil Nadu,NLC India Limited,Under Construction,133.00,Not Available
Sonua Reservoir Scheme,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Jharkhand,"Water Resources Department, Jharkhand",Under Construction,82.65,06-Jan-1982
Subarnarekha Multipurpose Barrage Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Multi State/ Centre,"Water Resources Department, Jharkhand",Under Construction,"6,613.74",21-Mar-1977
Suru Reservoir Scheme,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Jharkhand,"Water Resources Department, Jharkhand",Under Construction,96.35,06-Jan-1982
Sutiyapat Irrigation Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Chhattisgarh,"Water Resources Department, Chhattisgarh",Completed,98.62,Not Available
Talcher-Meramundali Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Odisha,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Tarapur Transmission Line - Extension,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Teesta V-Darjeeling-New Siliguri Transmission Line Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Completed,Not Available,Not Available
Tehri Transmission Line (Phase II),Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Uttarakhand,Power Grid Corporation of India Limited,Completed,914.00,Not Available
Thermal Power (Neyveli) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Tamil Nadu,NLC India Limited,Under Construction,"5,907.00",Not Available
Tirunelveli-Edamon Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Kerala,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Transmission Line (Farakka) Project - III,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,West Bengal,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Transmission Line (Mainpuri-Hapur) Project,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Uttar Pradesh,Uttar Pradesh Power Transmission Corporation Limited,Under Construction,"4,706.49",27-Dec-2011
Transmission Line (Nagappattinam) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Tamil Nadu,Power Grid Corporation of India Limited,Completed,115.00,Not Available
Transmission Line (Vijayawada-Nellore) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Andhra Pradesh,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Transmission Lines (Bhiwani) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Haryana,Power Grid Corporation of India Limited,Completed,Not Available,Not Available
Transmission Lines (Rihand-Vindhyachal) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,"4,673.00",Not Available
Tuticorin Thermal Power Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Tamil Nadu,NLC TamilNadu Power Limited,Completed,"6,602.74",Not Available
Two laning of Hyderabad-Dindi section in length of 85.0 Km under NHDP-IV,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Telangana,"Roads and Buildings Department, Telangana",Completed,340.00,26-Feb-2014
Two laning of Nakrekal-Nagarjunsagar Dam section in length of 85.1 Km under NHDP-IV,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Telangana,"Roads and Buildings Department, Telangana",Under Construction,270.00,26-Feb-2014
Two laning of Pileru to Rayachoty road from 57.0 km to 108.8 km in Chittoor district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Andhra Pradesh,"Roads and Buildings Department, Andhra Pradesh",Under Construction,175.03,23-Jun-2015
Unchachar II Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Uttar Pradesh,Power Grid Corporation of India Limited,Completed,168.31,Not Available
Underground Sewerage Scheme (Chandrapur),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Sewage collection, treatment and disposal system",Maharashtra,Chandrapur City Municipal Corporation,Under Construction,94.81,24-Aug-2009
Upershankh Reservoir Scheme,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Jharkhand,"Water Resources Department, Jharkhand",Under Construction,141.19,18-Mar-1987
Upgradation of NH-167 in length of 55.4 Km in Hyderabad,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Telangana,"Roads and Buildings Department, Telangana",Under Construction,75.89,07-Jan-2015
Upgradation Penchalakona-Yerpedu road in length of 83.6 km in Anantapur district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Andhra Pradesh,"Roads and Buildings Department, Andhra Pradesh",Completed,361.30,19-May-2014
Upper Bari Doab Canal  (UDBC) System,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Punjab,Punjab Water Resources Management and Development Corporation Limited,Under Construction,358.57,24-Feb-2004
Uri II Transmission Line Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Jammu & Kashmir,Power Grid Corporation of India Limited,Completed,220.82,Not Available
Vijayawada-Nellore-Sriperumbudur Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Completed,396.28,Not Available
Vindhyachal Transmission Line Stage III,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Madhya Pradesh,Power Grid Corporation of India Limited,Completed,596.47,Not Available
Visakhapatnam Port Connectivity Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Andhra Pradesh,Visakhapatnam Port Road Company Limited,Completed,114.00,Not Available
Water Supply Improvement Scheme (Pali),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Rajasthan,"Urban Development and Housing Department, Rajasthan",Pre-construction Stage,400.00,28-Sep-2015
Water Supply Project (Bolangir),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Odisha,"Public Health Engineering Organisation, Odisha",Under Construction,55.00,Not Available
Water Supply Project (Keonjhar),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Odisha,"Public Health Engineering Organisation, Odisha",Under Construction,50.00,Not Available
Water Supply Scheme (Aizawl) - Augmentation,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Mizoram,"Urban Development and Poverty Alleviation Department, Mizoram",Pre-construction Stage,143.42,16-Dec-2015
Water Supply Scheme (Gadwal & Alampur),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,700.00,14-Oct-2015
Water Supply Scheme (Godavari & Pusur),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"2,082.00",23-Oct-2015
Water Supply Scheme (Inchageri),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Karnataka,"Rural Drinking Water Supply and Sanitation Department, Karnataka",Under Construction,55.01,31-Dec-2015
Water Supply Scheme (Jaisalmer),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Rajasthan,"Urban Development and Housing Department, Rajasthan",Completed,69.68,08-Jul-2009
Water Supply Scheme (Kaddam & Adilabad),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,440.00,09-Apr-2015
"Water Supply Scheme (Kalyandurg, Rayadurg & Uravakonda) - Phase IV",Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Andhra Pradesh,"Rural Water Supply and Sanitation Department, Andhra Pradesh",Under Construction,190.00,30-Nov-2009
"Water Supply Scheme (Kerimeri, Jainoor, Sirpur & Narnoor)",Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,70.00,27-Aug-2010
Water Supply Scheme (Komarambheem-Asifabad),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"1,650.00",27-Oct-2015
Water Supply Scheme (Korutla-Jagityal-Dharmapuri),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"1,300.00",06-Nov-2015
Water Supply Scheme (Kothapeta & Ravulapalem),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Andhra Pradesh,"Rural Water Supply and Sanitation Department, Andhra Pradesh",Under Construction,55.00,23-Jan-2014
"Water Supply Scheme (Madakasira, Hindupur, Penukonda & Uravakonda) - Phase III",Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Andhra Pradesh,"Rural Water Supply and Sanitation Department, Andhra Pradesh",Completed,175.00,04-Dec-2007
Water Supply Scheme (Mahaboobnagar & Rangareddy),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"5,953.00",27-Nov-2015
"Water Supply Scheme (Mahabubnagar, Hanwada & Koilakonda)",Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,80.00,01-Oct-2014
Water Supply Scheme (Manakondur-Husnabad-Siricilla-Vemulawada),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,174.09,20-May-2015
Water Supply Scheme (Mankondur-Husnabad-Huzurabad),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"2,040.00",09-Nov-2015
Water Supply Scheme (Manthani & Bhupalpally),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,835.00,07-Dec-2015
Water Supply Scheme (Mudhole),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,168.00,13-Dec-2013
Water Supply Scheme (Nagathan),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Karnataka,"Rural Drinking Water Supply and Sanitation Department, Karnataka",Under Construction,75.21,27-Jan-2015
Water Supply Scheme (Nirmal & Mudhole),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"1,530.00",28-Oct-2015
Water Supply Scheme (Palair & Madhira),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,315.00,15-Apr-2015
Water Supply Scheme (Peddapalli-Ramagundam),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,108.00,20-May-2015
"Water Supply Scheme (Pinapaka,Kothagudem & Aswaraopet)",Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,168.02,25-Apr-2015
Water Supply Scheme (Sathupally & Wyra),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,993.00,14-Oct-2015
Water Supply Scheme (Siricilla-Vemulawada-Choppadandi),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,"1,585.00",28-Oct-2015
"Water Supply Scheme (Urvakonda, Kudair, Vajrakarur & Vidapankal)",Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Andhra Pradesh,"Rural Water Supply and Sanitation Department, Andhra Pradesh",Under Construction,56.00,09-Nov-2013
Water Supply Scheme (Yellampalli & Chennur),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,670.00,18-Oct-2015
Water Supply Scheme (Yellore Reservoir),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Telangana,"Rural Water Supply and Sanitation Department, Telangana",Under Construction,120.00,26-Jun-2015
Western Region Grid Strengthening Scheme II,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Western Region Grid Strengthening Scheme II,Under Construction,"4,800.00",Not Available
Alappuzha Bypass (NH-47) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Kerala,National Highways Authority of India (NHAI),Under Construction,348.43,11-Feb-2015
Bina-Nagda-Dehgam Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,617.32,Not Available
Biswanath Chariyali-Agra Bi-pole HVDC Line Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Completed,"5,000.00",Not Available
Champa-Kurukshetra HVDC Transmission Line Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,"8,234.00",Not Available
Dhauliganga-Bareilly Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Multi State/ Centre,Power Grid Corporation of India Limited,Completed,196.00,Not Available
Four laning of Dimapur-Kohima section in length of 13.7 km of NH-39,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Nagaland,National Highways and Infrastructure Development Corporation Limited,Under Construction,515.64,30-Aug-2016
Four laning of Silchar-Agartala section in length of 306.0 km,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,"3,060.00",18-Oct-2016
Gazuwaka HVDC Back-to-Back Transmission System Augmentation,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,769.25,Not Available
High Power Test Laboratory (Bina) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Madhya Pradesh,National High Power Test Laboratory Private Limited (NHPTL),Under Construction,Not Available,26-Sep-2012
Jamshedpur-Rourkela Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Completed,52.40,Not Available
Jattikalan-Moga Transmission Line Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,103.00,Not Available
Kishenpur-Moga Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,849.00,Not Available
Kollam Bypass (NH-47) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Kerala,National Highways Authority of India (NHAI),Under Construction,352.05,11-Feb-2015
Madurai-Thiruvananthapuram Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,195.97,Not Available
Nathpa Jhakri Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Himachal Pradesh,Power Grid Corporation of India Limited,Under Construction,Not Available,Not Available
Nellore Water Supply Improvement Scheme,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water supply pipeline,Andhra Pradesh,Nellore Municipal Corporation,Completed,103.50,15-Dec-2007
Numaligarh-Jorhat NH-37 Road Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Assam,National Highways and Infrastructure Development Corporation Limited,Under Construction,454.89,31-Oct-2014
Parbati III Transmission Line Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Himachal Pradesh,Power Grid Corporation of India Limited,Completed,616.00,Not Available
Raipur-Rourkela Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Completed,238.00,Not Available
Rihand-Allahabad-Mainpuri-Ballabgarh Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Completed,"1,140.00",Not Available
Road Upgradation (Agartala-Udaipur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Tripura,National Highways and Infrastructure Development Corporation Limited,Under Construction,303.63,31-Oct-2014
Road Upgradation (Bankura-Durgapur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,"Public Works Department, West Bengal",Under Construction,70.92,31-May-2015
Road Upgradation (Bankura-Saltora) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,"Public Works Department, West Bengal",Completed,85.92,31-Jan-2014
Road Upgradation (Bordumsa-Namchik) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Under Construction,189.91,23-Oct-2015
Road Upgradation (Burdwan-Katwa) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,"Public Works Department, West Bengal",Under Construction,83.06,22-Dec-2014
Road Upgradation (Changlang District Boundary-Khonsa) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Under Construction,378.59,01-Mar-2016
Road Upgradation (Changlang/Tirap Distirct Boundary-Changlang) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Under Construction,172.74,01-Jun-2015
Road Upgradation (Davangere-Channagiri) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,181.45,14-Sep-2015
Road Upgradation (Demow-Moran Bypass) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Assam,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,294.17,16-May-2016
Road Upgradation (Futisanko More-Palita More-Palitpur-Natunhat Road) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,"Public Works Department, West Bengal",Under Construction,65.02,21-Apr-2015
Road Upgradation (Ghaghra Bridge-Varanasi) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Uttar Pradesh,National Highways Authority of India (NHAI),Under Construction,"1,965.54",26-Aug-2015
Road Upgradation (Hoskote-Chintamani) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,98.22,11-Mar-2011
Road Upgradation (Longding-Kanubari) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Under Construction,502.42,02-Jun-2015
Road Upgradation (Manvi-Sindanur-Lingasugur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,56.57,09-Jul-2014
Road Upgradation (Memari-Manteswar) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,"Public Works Department, West Bengal",Under Construction,59.14,16-Mar-2015
Road Upgradation (Moran Bypass-Bogibeel) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Assam,National Highways and Infrastructure Development Corporation Limited,Under Construction,294.17,16-May-2016
Road Upgradation (Mudgal-Gangawathi) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,152.62,02-Dec-2012
Road Upgradation (Nagaon Bypass-Rangapara) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Assam,National Highways and Infrastructure Development Corporation Limited,Under Construction,173.04,23-Dec-2015
Road Upgradation (Padubidri-Karkala) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,61.48,02-Dec-2012
Road Upgradation (Pasighat-Bompur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Under Construction,155.81,08-Mar-2016
Road Upgradation (Rangagara-Kaliabhor Tinali) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Assam,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,222.99,23-Dec-2015
Road Upgradation (Raravi-Belur & Deodurg-Bellary) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,58.03,28-Dec-2013
Road Upgradation (Shahapur-Shivarampur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,62.49,25-Dec-2013
Road Upgradation (Shikaripura-Soraba-Hosanagar) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,76.60,04-Mar-2014
Road Upgradation (Silchar-Badarpur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Assam,National Highways and Infrastructure Development Corporation Limited,Under Construction,53.81,01-Oct-2015
Road Upgradation (Thirthahalli) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,57.18,26-Dec-2013
Road Upgradation (Tinthini-Kalmala) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,160.68,11-Mar-2011
Road Upgradation (Udaipur-Sabroom) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Tripura,National Highways and Infrastructure Development Corporation Limited,Under Construction,455.19,11-Aug-2014
Road Upgradation (Virajpet-Byndoor & Malpe-Molakalmuru) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,51.82,26-Dec-2013
Salal Transmission Line,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,113.06,Not Available
Sipat Transmission Line - Stage I,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Chhattisgarh,Power Grid Corporation of India Limited,Completed,110.00,03-Mar-2006
Sub-station (Khandwa) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Madhya Pradesh,Power Grid Corporation of India Limited,Completed,110.00,15-Sep-2003
Transmission Line (Balipara-Bongaigaon) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Assam,Power Grid Corporation of India Limited,Completed,226.00,Not Available
Transmission Line (Ballia-Sultanpur) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Uttar Pradesh,Power Grid Corporation of India Limited,Under Construction,114.00,Not Available
Transmission Line (Bareilly-Kashipur) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Uttar Pradesh,Power Grid Corporation of India Limited,Completed,182.00,11-Jan-2010
Transmission Line (Bareilly-Lucknow) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Uttar Pradesh,Power Grid Corporation of India Limited,Completed,200.00,18-Jan-2011
Transmission Line (Kameng-Balipara)  Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,65.00,Not Available
Transmission Line (Sagardighi-Parulia) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,West Bengal,Power Grid Corporation of India Limited,Under Construction,84.00,Not Available
Transmission Line (Salem-Somanhalli) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity transmission,Multi State/ Centre,Power Grid Corporation of India Limited,Under Construction,Not Available,07-Feb-2012
Two laning of Belur-Banavara road in length of 46.6 km in Hassan district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,160.25,16-Sep-2011
